killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
AKM,BeiShanYouLi-,29,483937.2,629174.7,ERANGEL,2U4GBNA0YmmGc_VTq-rUS0KhELY8_mTgm0dNr1pQzzVOlSzeax1jRT5aN6rq4Xp2,157,mahone-mike,70,483583.6,629156.1
M416,EGsunshine,6,322571.8,374065.9,ERANGEL,2U4GBNA0Ymmqwd0oNqFYjlga8_KJWSLSBaAn1NCO1rVVL9cgsZeR76CC9kkUNfrn,1484,WenQinDADA,9,317369,374928.4
SCAR-L,QSYwolf,1,436687.6,640161.7,ERANGEL,2U4GBNA0YmleHxl-G6re8ZFizMgdSv7k9FxV4ziBPlFlK8FcXzcbUofJEFUxyxA3,139,Merc505,44,431817.8,640740.8
S1897,Ym1213,8,426924.6,544388.9,MIRAMAR,2U4GBNA0Ymk0uZzsQ6u1Rg4AgAgZqkZ-3W_Kp-2JbW0kIYjmVseVXIa3e37RfriA,126,ManingTD,14,427371.8,544606.3
Down and Out,Mr-JP,19,316474.6,355959.9,ERANGEL,2U4GBNA0Ymmn4kjk5h5J6ULRu1FTPNdweBzSRxHz7NkcqVQzoKrqtRw5yfKFlJu3,890,Dagger4887,21,314944.8,354038.2
S1897,M3nacingDAD,13,349390.6,305121.7,ERANGEL,2U4GBNA0YmmIqtwjNVZf7Hd1gzoFa3y8gzA6sc_tPxBu4xveimU523H3bfszJd2t,220,Peeyimp666,75,349307,304711.2
AKM,piecesaaa,4,284934.2,544939.1,MIRAMAR,2U4GBNA0Ymn66i1sGWbmzmwG7z9EI79e9CvxT1StL67nLY-metlh5nKjAjRsKjnB,664,Mabelman,44,301045.1,550990.2
Falling,NA,NA,NA,NA,MIRAMAR,2U4GBNA0Ymnsh5VBNeQ5p6-J9a7fV55_D_CtnS9pYG1DwYeySj1bYOL3GJqkHM8Y,1247,Freske,14,583483.4,343856.3
Down and Out,LYB_LX_2Tap,5,675672.4,371049.5,ERANGEL,2U4GBNA0Ymlc1uxFdsioyG62F1N0BVM_5HMj6exyDBD1i4IoGctNsJMurXdJNCRa,1442,J1nB40,10,680636.2,371178.3
Punch,maxocodonth,22,666503.9,309428.2,ERANGEL,2U4GBNA0YmngLdDDFpJ7pkGf2BktpKBgdx_1zlZd_c91eA3Mw88_CTG_NU_yxuGR,322,Ksunya,23,666452.8,309339.4
